time,signal ch.38
1.044972348,-0.00023443
1.045300029,-0.00023725
1.045627709,-0.00023822
1.045955389,-0.00023915
1.046283069,-0.00024148
1.04661075,-0.00024304
1.04693843,-0.00024466
1.04726611,-0.00024747
1.04759379,-0.00024858
1.047921471,-0.00024692
1.048249151,-0.00024577
1.048576831,-0.00025067
1.048904512,-0.00026058
1.049232192,-0.00027287
1.049559872,-0.00028083
1.049887552,-0.00028452
1.050215233,-0.00028661
1.050542913,-0.00028644
1.050870593,-0.00028533
1.051198273,-0.00028534
1.051525954,-0.00028701
1.051853634,-0.00028668
1.052181314,-0.00028466
1.052508994,-0.00028528
1.052836675,-0.00028625
1.053164355,-0.00028861
1.053492035,-0.00028936
1.053819715,-0.00028778
1.054147396,-0.00028885
1.054475076,-0.00029197
1.054802756,-0.00029378
1.055130436,-0.00029496
1.055458117,-0.00029794
1.055785797,-0.00030153
1.056113477,-0.00030391
1.056441157,-0.00030521
1.056768838,-0.00030623
1.057096518,-0.00030752
1.057424198,-0.00030813
1.057751879,-0.00031013
1.058079559,-0.00031321
1.058407239,-0.00031422
1.058734919,-0.00031494
1.0590626,-0.00031585
1.05939028,-0.00031729
1.05971796,-0.00031896
1.06004564,-0.00031949
1.060373321,-0.00032179
1.060701001,-0.00032484
1.061028681,-0.00032715
1.061356361,-0.00033043
1.061684042,-0.0003324
1.062011722,-0.00033363
1.062339402,-0.00033303
1.062667082,-0.00033218
1.062994763,-0.00033207
1.063322443,-0.00033153
1.063650123,-0.00033199
1.063977803,-0.0003319
1.064305484,-0.00033067
1.064633164,-0.00032859
1.064960844,-0.00032857
1.065288524,-0.00032759
1.065616205,-0.00032635
1.065943885,-0.00032536
1.066271565,-0.0003214
1.066599246,-0.00031952
1.066926926,-0.00031951
1.067254606,-0.00031954
1.067582286,-0.00031834
1.067909967,-0.00031947
1.068237647,-0.0003215
1.068565327,-0.00032206
1.068893007,-0.00032406
1.069220688,-0.00032505
1.069548368,-0.00032385
1.069876048,-0.00031654
1.070203728,-0.00030839
1.070531409,-0.00030218
1.070859089,-0.0002989
1.071186769,-0.00029849
1.071514449,-0.00029993
1.07184213,-0.00030181
1.07216981,-0.00030315
1.07249749,-0.00030262
1.07282517,-0.00030248
1.073152851,-0.00030182
1.073480531,-0.00030165
1.073808211,-0.00030452
1.074135892,-0.00030639
1.074463572,-0.00030707
1.074791252,-0.00030879
1.075118932,-0.00030999
1.075446613,-0.00031261
1.075774293,-0.00031623
1.076101973,-0.00031842
1.076429653,-0.00031843
1.076757334,-0.00031919
1.077085014,-0.00032097
1.077412694,-0.00032224
